,title,brand,price,old_price,discount,discount_percent,rate
0,Nokia 8.3 5G - 6.67-inch 128GB/8GB Mobile Phone - Blue + Power Earbuds - Charcoal Black + 128GB MicroSD card,Nokia,7999.0,10499.0,2500.0,24,5.0
1,Samsung Galaxy A21s - 6.5-inch 64GB/4GB Dual SIM Mobile Phone - White,Samsung,2799.0,3299.0,500.0,15,4.6
2,XIAOMI Redmi 9C - 6.53-inch 64GB/3GB Dual SIM 4G Mobile Phone - Midnight Gray,XIAOMI,2040.0,2499.0,459.0,18,4.9
3,XIAOMI Redmi Note 8 - 6.3-inch 64GB/4GB Mobile Phone - Space Black,XIAOMI,2620.0,2905.0,285.0,10,4.5
4,Nokia 3.2 - 6.26-inch 16GB/2GB Mobile Phone - Steel,Nokia,1555.0,2200.0,645.0,29,0.0
5,Samsung Galaxy A52 - 6.5-inch 256GB/8GB Dual Sim 4G Mobile Phone - Awesome Black,Samsung,5875.0,6900.0,1025.0,15,5.0
6,Redmi 9A - 6.53-inch 32GB/2G Dual Sim 4G Mobile Phone - Granite Grey,Redmi,1666.0,1799.0,133.0,7,4.3
7,Redmi 9A - 6.53-inch 32GB/2G Dual Sim 4G Mobile Phone - Sky Blue,Redmi,1666.0,1799.0,133.0,7,4.6
8,Nokia 3.4 - 6.39-inch 64GB/4GB Dual SIM Mobile Phone - Grey,Nokia,2079.0,2564.0,485.0,19,4.7
9,Samsung Galaxy S20 FE - 6.5-inch 128GB/8GB Mobile Phone - Cloud Lavender,Samsung,10300.0,0.0,0.0,0,5.0
10,Nokia 3.2 - 6.26-inch 16GB/2GB Mobile Phone - Black,Nokia,1555.0,2200.0,645.0,29,3.7
11,Samsung Galaxy A31 - 6.4-inch 128GB/4GB 4G Mobile Phone - Prism Crush Black,Samsung,3255.0,3999.0,744.0,19,5.0
12,Nokia 3.2 - 6.26-inch 32GB/3GB Mobile Phone - Steel,Nokia,1849.0,2126.0,277.0,13,0.0
13,Samsung Galaxy A31 - 6.4-inch 128GB/4GB 4G Mobile Phone - Prism Crush Blue,Samsung,3184.0,3999.0,815.0,20,4.5
14,Samsung Galaxy S20 FE - 6.5-inch 128GB/8GB Mobile Phone - Cloud White,Samsung,10300.0,0.0,0.0,0,4.5
15,Samsung Galaxy S20 FE - 6.5-inch 128GB/8GB Mobile Phone - Cloud Mint,Samsung,10300.0,0.0,0.0,0,1.0
16,Apple iPhone XR with FaceTime - 128GB - (Product) Red,Apple,12250.0,13333.0,1083.0,8,0.0
17,XIAOMI Redmi Note 9T – 6.53-inch 4GB/128GB Dual SIM 5G Mobile Phone - Daybreak Purple,XIAOMI,3199.0,4572.0,1373.0,30,4.7
18,Nokia 5.3 - 6.55-inch 64GB/4GB Dual SIM 4G Mobile Phone - Sand,Nokia,2399.0,2875.0,476.0,17,5.0
19,XIAOMI Redmi 9 - 6.53-inch 64GB/4GB Dual SIM Mobile Phone - Carbon Grey,XIAOMI,2474.0,2799.0,325.0,12,4.7
20,Samsung Galaxy S20 FE - 6.5-inch 128GB/8GB Mobile Phone - Cloud Red,Samsung,10300.0,0.0,0.0,0,4.0
21,Huawei nova 7 5G - 6.53-inch 256GB/8GB Mobile Phone - Midsummer Purple,Huawei,6699.0,10807.0,4108.0,38,4.9
22,Nokia 2.4 - 6.53-inch 32GB/2GB Dual SIM Mobile Phone - Charcoal Grey,Nokia,1689.0,2590.0,901.0,35,4.4
23,Oppo Reno5 4G - 6.4-inch 128GB/8GB Dual SIM Mobile Phone - Starry Black,Oppo,5690.0,6544.0,854.0,13,0.0
